Actor,MENA,Europe
Afghanistan,,
Afghanistan/Mujahideen,,
Afghanistan/NA,,
African Union,,
Albania,,1
Algeria,,
Angola,,
Angola/FNLA,,
Angola/UNITA,,
Argentina,,
Armenia,,
Aruba,,
Australia,,
Austria,,1
Azerbaijan,,
Bahamas,,
Bahrain,1,
Bangladesh,,
Barbados,,
Belarus,,1
Belgium,,1
Belize,,
Benin,,
Bhutan,,
Biafra,,
Bolivia,,
Bosnia-Herzegovina,,1
Botswana,,
Brazil,,
Brunei,,
Bulgaria,,1
Burkina Faso,,
Burundi,,
Cambodia,,
Cambodia/Khmer Rouge,,
Cameroon,,
Canada,,
Cape Verde,,
Central African Rep.,,
Chad,,
Chad/GUNT,,
Chile,,
China,,
Colombia,,
Comoros,,
Congo,,
Costa Rica,,
Cote d'Ivoire,,
Croatia,,1
Cuba,,
Cuba/Anti-Castro rebels,,
Cyprus,,
Czech Republic,,1
Czechoslovakia,,1
Denmark,,1
Djibouti,,
Dominican Republic,,
DRC (Zaire),,
DRC/Katanga,,
East Germany (GDR),,1
Ecuador,,
Egypt,1,
El Salvador,,
El Salvador/FMLN,,
Equatorial Guinea,,
Eritrea,,
Estonia,,1
Ethiopia,,
Ethiopia/ENLF,,
Fiji,,
Finland,,1
France,,1
France/Viet Cong,,
Gabon,,
Gambia,,
Georgia,,
Germany (FRG),,1
Ghana,,
Greece,,1
Grenada,,
Guatemala,,
Guatemala/Armas,,
Guinea,,
Guinea Bissau,,
Guyana,,
Haiti,,
Haiti/rebels,,
Honduras,,
Hungary,,1
Iceland,,1
India,,
Indonesia,,
Indonesia/rebels,,
Iran,1,
Iraq,1,
Ireland,,1
Israel,1,
Israel/PLO,1,
Italy,,1
Jamaica,,
Japan,,
Jordan,1,
Kazakhstan,,
Kenya,,
Kiribati,,
Kuwait,1,
Kyrgyzstan,,
Laos,,
Laos/Pathet Lao,,
Latvia,,1
Lebanon,1,
Lebanon/Amal,1,
Lebanon/Hizbollah,1,
Lebanon/LF,,
Lebanon/Palestinians,1,
Lebanon/SLA,1,
Lesotho,,
Liberia,,
Libya,,
Lithuania,,1
Luxembourg,,1
Macedonia,,1
Madagascar,,
Malawi,,
Malaysia,,
Maldives,,
Mali,,
Malta,,
Marshall Islands,,
Mauritania,,
Mauritius,,
Mexico,,
Micronesia,,
Moldova,,
Mongolia,,
Montenegro,,
Morocco,,
Mozambique,,
Myanmar,,
Namibia,,
NATO,,
Nepal,,
Netherlands,,1
New Zealand,,
Nicaragua,,
Nicaragua/Contras,,
Niger,,
Nigeria,,
North Korea,,
North Yemen,1,
Northern Cyprus,,
Norway,,1
Oman,1,
Pakistan,,
Palau,,
Palestinian Authority,1,
Panama,,
Papua New Guinea,,
Paraguay,,
Peru,,
Philippines,,
Poland,,1
Portugal,,
Qatar,1,
Reg. Sec. System,,
Romania,,1
Russia,,1
Rwanda,,
Saharawi,,
Samoa,,
Saudi Arabia,1,
Senegal,,
Serbia,,1
Serbia & Mont.,,1
Seychelles,,
Sierra Leone,,
Singapore,,
Slovakia,,1
Slovenia,,1
Solomon Islands,,
Somalia,,
Somalia/SNA,,
South Africa,,
South Korea,,
South Sudan,,
South Vietnam,,
South Vietnam/Viet Cong,,
South Yemen,,
Spain,,1
Sri Lanka,,
Sri Lanka/LTTE,,
St Kitts and Nevis,,
St Vincent,,
Sudan,,
Suriname,,
Swaziland,,
Sweden,,1
Switzerland,,1
Syria,1,
Taiwan,,
Tajikistan,,
Tanzania,,
Thailand,,
Timor-Leste,,
Togo,,
Tonga,,
Trinidad & Tobago,,
Tunisia,1,
Turkey,1,
Turkmenistan,,
Tuvalu,,
UAE,1,
Uganda,,
UK,,1
UK/PIRA,,1
Ukraine,,1
United Nations,,
Uruguay,,
USA,,
USSR,,1
Uzbekistan,,
Vanuatu,,
Venezuela,,
Viet Nam,,
Yemen,1,
Yemen/Southern rebels,1,
Yugoslavia,,1
Zambia,,
Zimbabwe,,
Zimbabwe/ZAPU,,
